,jd,mag,mag_unc,filter,limmag,programid
0,44243.37644628129,25.761765443088375,0.1,ps1__g,inf,0.0
1,44243.37644628129,26.464213624448142,0.1,ps1__r,inf,0.0
2,44243.37644628129,19.429775962127373,0.1,ps1__i,inf,0.0
3,44243.37644628129,29.595360909430845,0.1,2massh,inf,0.0
4,44243.37644628129,26.965884756540675,0.1,sdssu,inf,0.0
5,44243.37644628129,25.942837474944028,0.1,ps1__z,inf,0.0
6,44243.47644628129,25.12769121011752,0.1,ps1__r,inf,0.0
7,44243.47644628129,24.92826414071783,0.1,ps1__z,inf,0.0
8,44243.47644628129,24.471475538705125,0.1,ps1__g,inf,0.0
9,44243.47644628129,25.463156864309997,0.1,sdssu,inf,0.0
10,44243.47644628129,20.72580032104216,0.1,ps1__i,inf,0.0
11,44243.47644628129,27.336810816015465,0.1,2massh,inf,0.0
12,44243.576446281295,25.031699499020792,0.1,2massh,inf,0.0
13,44243.576446281295,23.721082212683104,0.1,ps1__r,inf,0.0
14,44243.576446281295,24.169323775592446,0.1,ps1__z,inf,0.0
15,44243.576446281295,23.162600346813324,0.1,ps1__g,inf,0.0
16,44243.576446281295,24.064433184599164,0.1,sdssu,inf,0.0
17,44243.576446281295,21.23986737008797,0.1,ps1__i,inf,0.0
18,44243.67644628129,23.762535488926638,0.1,2massh,inf,0.0
19,44243.67644628129,21.05727958699138,0.1,ps1__i,inf,0.0
20,44243.67644628129,23.470211662248346,0.1,ps1__z,inf,0.0
21,44243.67644628129,23.02958178956312,0.1,ps1__r,inf,0.0
22,44243.67644628129,22.6905523930549,0.1,ps1__g,inf,0.0
23,44243.67644628129,23.401341608969233,0.1,sdssu,inf,0.0
24,44243.77644628129,22.271110546601616,0.1,ps1__r,inf,0.0
25,44243.77644628129,20.18671041539316,0.1,ps1__i,inf,0.0
26,44243.77644628129,22.060440521145402,0.1,ps1__g,inf,0.0
27,44243.77644628129,22.982147832189714,0.1,sdssu,inf,0.0
28,44243.77644628129,22.72988574709062,0.1,2massh,inf,0.0
29,44243.77644628129,22.635660436384367,0.1,ps1__z,inf,0.0
30,44243.87644628129,21.984650996649467,0.1,2massh,inf,0.0
31,44243.87644628129,22.348125877519948,0.1,ps1__z,inf,0.0
32,44243.87644628129,19.954959697949246,0.1,ps1__i,inf,0.0
33,44243.87644628129,22.864157646454007,0.1,sdssu,inf,0.0
34,44243.87644628129,22.02139218325697,0.1,ps1__r,inf,0.0
35,44243.87644628129,21.813753305241615,0.1,ps1__g,inf,0.0
36,44243.97644628129,21.56671446577112,0.1,2massh,inf,0.0
37,44243.97644628129,21.98101605540569,0.1,ps1__r,inf,0.0
38,44243.97644628129,21.84055927521887,0.1,ps1__g,inf,0.0
39,44243.97644628129,21.77187201858707,0.1,ps1__z,inf,0.0
40,44243.97644628129,19.520654843039303,0.1,ps1__i,inf,0.0
41,44243.97644628129,22.921454713732434,0.1,sdssu,inf,0.0
42,44244.076446281295,21.529993353176177,0.1,ps1__z,inf,0.0
43,44244.076446281295,21.35489387139077,0.1,2massh,inf,0.0
44,44244.076446281295,21.83996156479693,0.1,ps1__r,inf,0.0
45,44244.076446281295,19.358825907116668,0.1,ps1__i,inf,0.0
46,44244.076446281295,22.864175938956816,0.1,sdssu,inf,0.0
47,44244.076446281295,21.665380676765288,0.1,ps1__g,inf,0.0
48,44244.17644628129,21.384779773196044,0.1,ps1__z,inf,0.0
49,44244.17644628129,21.443634950257344,0.1,2massh,inf,0.0
50,44244.17644628129,21.731385924704323,0.1,ps1__r,inf,0.0
51,44244.17644628129,19.2457834493547,0.1,ps1__i,inf,0.0
52,44244.17644628129,21.483916873152847,0.1,ps1__g,inf,0.0
53,44244.17644628129,23.053682214798965,0.1,sdssu,inf,0.0
54,44244.27644628129,21.29655616022398,0.1,2massh,inf,0.0
55,44244.27644628129,22.908305049096853,0.1,sdssu,inf,0.0
56,44244.27644628129,21.641757308183866,0.1,ps1__z,inf,0.0
57,44244.27644628129,21.97720513656904,0.1,ps1__r,inf,0.0
58,44244.27644628129,21.53862463582193,0.1,ps1__g,inf,0.0
59,44244.27644628129,19.129614107584025,0.1,ps1__i,inf,0.0
60,44244.37644628129,21.445402375643756,0.1,2massh,inf,0.0
61,44244.37644628129,23.13423563263542,0.1,sdssu,inf,0.0
