,jd,mag,mag_unc,filter,limmag,programid
0,44243.07181407657,20.512150073644182,0.1,ps1__g,inf,0.0
1,44243.07181407657,21.267584259379788,0.1,ps1__r,inf,0.0
2,44243.07181407657,16.23634038926989,0.1,ps1__i,inf,0.0
3,44243.07181407657,18.037067357733278,0.1,2massh,inf,0.0
4,44243.07181407657,21.20397532289932,0.1,sdssu,inf,0.0
5,44243.07181407657,22.126023429521293,0.1,ps1__z,inf,0.0
6,44243.171814076566,20.192229452239363,0.1,ps1__r,inf,0.0
7,44243.171814076566,20.146845743275485,0.1,ps1__z,inf,0.0
8,44243.171814076566,19.338497919297296,0.1,ps1__g,inf,0.0
9,44243.171814076566,20.103979136310414,0.1,sdssu,inf,0.0
10,44243.171814076566,16.740715805378905,0.1,ps1__i,inf,0.0
11,44243.171814076566,17.35192707942352,0.1,2massh,inf,0.0
12,44243.27181407657,16.619631539078913,0.1,2massh,inf,0.0
13,44243.27181407657,18.93476790232916,0.1,ps1__r,inf,0.0
14,44243.27181407657,18.357705345807656,0.1,ps1__z,inf,0.0
15,44243.27181407657,18.026860823546283,0.1,ps1__g,inf,0.0
16,44243.27181407657,18.956597347679423,0.1,sdssu,inf,0.0
17,44243.27181407657,16.256867411959057,0.1,ps1__i,inf,0.0
18,44243.37181407657,18.165992787213117,0.1,2massh,inf,0.0
19,44243.37181407657,15.734761658523345,0.1,ps1__i,inf,0.0
20,44243.37181407657,17.685872283306797,0.1,ps1__z,inf,0.0
21,44243.37181407657,18.312273386051405,0.1,ps1__r,inf,0.0
22,44243.37181407657,17.6971830105066,0.1,ps1__g,inf,0.0
23,44243.37181407657,18.61154902311197,0.1,sdssu,inf,0.0
24,44243.47181407657,17.42750418750643,0.1,ps1__r,inf,0.0
25,44243.47181407657,14.387537202777409,0.1,ps1__i,inf,0.0
26,44243.47181407657,16.925564895539456,0.1,ps1__g,inf,0.0
27,44243.47181407657,18.27699304509237,0.1,sdssu,inf,0.0
28,44243.47181407657,17.239911040089012,0.1,2massh,inf,0.0
29,44243.47181407657,16.81598748686632,0.1,ps1__z,inf,0.0
30,44243.57181407657,16.749037698721114,0.1,2massh,inf,0.0
31,44243.57181407657,16.673536625129287,0.1,ps1__z,inf,0.0
32,44243.57181407657,14.372070221704329,0.1,ps1__i,inf,0.0
33,44243.57181407657,18.36461287481891,0.1,sdssu,inf,0.0
34,44243.57181407657,17.23826117363062,0.1,ps1__r,inf,0.0
35,44243.57181407657,16.74072009703502,0.1,ps1__g,inf,0.0
36,44243.671814076566,16.30132581194355,0.1,2massh,inf,0.0
