,jd,mag,mag_unc,filter,limmag,programid
0,44242.25088530279,25.279330398039843,0.1,ps1__g,inf,0.0
1,44242.25088530279,25.559896338431578,0.1,ps1__r,inf,0.0
2,44242.25088530279,24.47827503482031,0.1,ps1__i,inf,0.0
3,44242.25088530279,23.04501134040489,0.1,2massh,inf,0.0
4,44242.25088530279,25.598566107911743,0.1,sdssu,inf,0.0
5,44242.25088530279,26.299778419405598,0.1,ps1__z,inf,0.0
6,44242.35088530279,24.063456487631136,0.1,ps1__r,inf,0.0
7,44242.35088530279,24.603158267480506,0.1,ps1__z,inf,0.0
8,44242.35088530279,23.965796474792274,0.1,ps1__g,inf,0.0
9,44242.35088530279,24.197678544240212,0.1,sdssu,inf,0.0
10,44242.35088530279,23.538886115361343,0.1,ps1__i,inf,0.0
11,44242.35088530279,21.91889578914359,0.1,2massh,inf,0.0
12,44242.450885302795,20.693532229219276,0.1,2massh,inf,0.0
13,44242.450885302795,22.394747476371432,0.1,ps1__r,inf,0.0
14,44242.450885302795,23.032294743365167,0.1,ps1__z,inf,0.0
15,44242.450885302795,22.723690502171753,0.1,ps1__g,inf,0.0
16,44242.450885302795,22.936451349951426,0.1,sdssu,inf,0.0
17,44242.450885302795,22.441846889753332,0.1,ps1__i,inf,0.0
18,44242.55088530279,21.840103004926625,0.1,2massh,inf,0.0
19,44242.55088530279,22.085912177758324,0.1,ps1__i,inf,0.0
20,44242.55088530279,22.223169986567658,0.1,ps1__z,inf,0.0
21,44242.55088530279,21.715411493354726,0.1,ps1__r,inf,0.0
22,44242.55088530279,22.212706302233258,0.1,ps1__g,inf,0.0
23,44242.55088530279,22.5047614428278,0.1,sdssu,inf,0.0
24,44242.65088530279,20.979513804360668,0.1,ps1__r,inf,0.0
25,44242.65088530279,21.75581708394466,0.1,ps1__i,inf,0.0
26,44242.65088530279,21.540529151130254,0.1,ps1__g,inf,0.0
27,44242.65088530279,22.30804738186589,0.1,sdssu,inf,0.0
28,44242.65088530279,21.59748563455402,0.1,2massh,inf,0.0
29,44242.65088530279,21.352792061158127,0.1,ps1__z,inf,0.0
30,44242.75088530279,21.280389818101686,0.1,2massh,inf,0.0
31,44242.75088530279,21.100043184647106,0.1,ps1__z,inf,0.0
32,44242.75088530279,21.67319833247659,0.1,ps1__i,inf,0.0
33,44242.75088530279,22.26842453067769,0.1,sdssu,inf,0.0
34,44242.75088530279,20.720685852660814,0.1,ps1__r,inf,0.0
35,44242.75088530279,21.220219369552602,0.1,ps1__g,inf,0.0
36,44242.85088530279,21.267061952726806,0.1,2massh,inf,0.0
37,44242.85088530279,20.640048401943798,0.1,ps1__r,inf,0.0
38,44242.85088530279,21.143457997574004,0.1,ps1__g,inf,0.0
39,44242.85088530279,20.515510888369338,0.1,ps1__z,inf,0.0
40,44242.85088530279,21.317567196995043,0.1,ps1__i,inf,0.0
41,44242.85088530279,22.322558837300587,0.1,sdssu,inf,0.0
42,44242.950885302795,20.267929264321005,0.1,ps1__z,inf,0.0
43,44242.950885302795,21.219535367328632,0.1,2massh,inf,0.0
44,44242.950885302795,20.4980641947866,0.1,ps1__r,inf,0.0
45,44242.950885302795,21.28037227491884,0.1,ps1__i,inf,0.0
46,44242.950885302795,22.291941902030242,0.1,sdssu,inf,0.0
47,44242.950885302795,20.88171399295032,0.1,ps1__g,inf,0.0
48,44243.05088530279,20.091987817324284,0.1,ps1__z,inf,0.0
49,44243.05088530279,21.264077342520988,0.1,2massh,inf,0.0
50,44243.05088530279,20.399779632321007,0.1,ps1__r,inf,0.0
51,44243.05088530279,21.223163377391252,0.1,ps1__i,inf,0.0
52,44243.05088530279,20.6179128849213,0.1,ps1__g,inf,0.0
53,44243.05088530279,22.52538657235971,0.1,sdssu,inf,0.0
54,44243.15088530279,21.12516321723162,0.1,2massh,inf,0.0
55,44243.15088530279,22.376476206641264,0.1,sdssu,inf,0.0
56,44243.15088530279,20.323110980280433,0.1,ps1__z,inf,0.0
57,44243.15088530279,20.69563857940647,0.1,ps1__r,inf,0.0
58,44243.15088530279,20.622220241537555,0.1,ps1__g,inf,0.0
59,44243.15088530279,21.17061719781802,0.1,ps1__i,inf,0.0
60,44243.25088530279,21.355974498716254,0.1,2massh,inf,0.0
61,44243.25088530279,22.523940702376557,0.1,sdssu,inf,0.0
62,44243.25088530279,20.387511129424748,0.1,ps1__r,inf,0.0
63,44243.25088530279,20.47852768681668,0.1,ps1__g,inf,0.0
64,44243.25088530279,20.177477426239488,0.1,ps1__z,inf,0.0
65,44243.25088530279,21.092522450423633,0.1,ps1__i,inf,0.0
66,44243.35088530279,20.48185673535631,0.1,ps1__g,inf,0.0
67,44243.35088530279,22.60524574592148,0.1,sdssu,inf,0.0
68,44243.35088530279,20.849309933485895,0.1,ps1__i,inf,0.0
69,44243.35088530279,21.294860125548052,0.1,2massh,inf,0.0
70,44243.35088530279,20.48534923949857,0.1,ps1__r,inf,0.0
71,44243.35088530279,20.07222457566268,0.1,ps1__z,inf,0.0
72,44243.450885302795,20.808203510715952,0.1,ps1__i,inf,0.0
73,44243.450885302795,20.135236985419386,0.1,ps1__z,inf,0.0
74,44243.450885302795,20.63018910716318,0.1,ps1__g,inf,0.0
75,44243.450885302795,22.94531620738085,0.1,sdssu,inf,0.0
76,44243.450885302795,20.55537307248422,0.1,ps1__r,inf,0.0
77,44243.450885302795,21.543462000019925,0.1,2massh,inf,0.0
78,44243.55088530279,20.021320275289696,0.1,ps1__z,inf,0.0
79,44243.55088530279,21.11123287936186,0.1,ps1__i,inf,0.0
80,44243.55088530279,21.267620460086057,0.1,2massh,inf,0.0
81,44243.55088530279,22.97110670892455,0.1,sdssu,inf,0.0
82,44243.55088530279,20.60891135130292,0.1,ps1__r,inf,0.0
83,44243.55088530279,20.521598540122245,0.1,ps1__g,inf,0.0
84,44243.65088530279,21.37392909794025,0.1,2massh,inf,0.0
85,44243.65088530279,20.39405355580584,0.1,ps1__z,inf,0.0
86,44243.65088530279,23.221915649947032,0.1,sdssu,inf,0.0
87,44243.65088530279,20.636448124419186,0.1,ps1__r,inf,0.0
88,44243.65088530279,20.724738625740354,0.1,ps1__g,inf,0.0
89,44243.65088530279,21.102143738863667,0.1,ps1__i,inf,0.0
90,44243.75088530279,20.17694061309481,0.1,ps1__z,inf,0.0
91,44243.75088530279,23.148454228099204,0.1,sdssu,inf,0.0
92,44243.75088530279,20.871076852395504,0.1,ps1__r,inf,0.0
93,44243.75088530279,21.093507055720263,0.1,2massh,inf,0.0
94,44243.75088530279,21.080469474720697,0.1,ps1__i,inf,0.0
95,44243.75088530279,21.029829990511562,0.1,ps1__g,inf,0.0
96,44243.85088530279,20.860445350234276,0.1,ps1__r,inf,0.0
97,44243.85088530279,20.248032186635463,0.1,ps1__z,inf,0.0
98,44243.85088530279,21.41626213845824,0.1,ps1__i,inf,0.0
99,44243.85088530279,21.002509271201582,0.1,2massh,inf,0.0
100,44243.85088530279,21.196727937541617,0.1,ps1__g,inf,0.0
101,44243.85088530279,23.556356016772725,0.1,sdssu,inf,0.0
102,44243.950885302795,21.014276285434498,0.1,2massh,inf,0.0
103,44243.950885302795,20.37640589079499,0.1,ps1__z,inf,0.0
104,44243.950885302795,21.378776364830927,0.1,ps1__i,inf,0.0
105,44243.950885302795,21.055584385003588,0.1,ps1__r,inf,0.0
106,44243.950885302795,21.54186624172182,0.1,ps1__g,inf,0.0
107,44243.950885302795,23.83528606831144,0.1,sdssu,inf,0.0
108,44244.05088530279,21.153911215914054,0.1,ps1__r,inf,0.0
109,44244.05088530279,21.64076385184968,0.1,ps1__g,inf,0.0
110,44244.05088530279,20.44168925305397,0.1,ps1__z,inf,0.0
111,44244.05088530279,23.959483822734015,0.1,sdssu,inf,0.0
112,44244.05088530279,21.04525808522333,0.1,2massh,inf,0.0
113,44244.05088530279,21.595439929585094,0.1,ps1__i,inf,0.0
114,44244.15088530279,21.59456336909679,0.1,ps1__i,inf,0.0
