,jd,mag,mag_unc,filter,limmag,programid
0,44242.62760900495,25.10231144483404,0.1,ps1__g,inf,0.0
1,44242.62760900495,24.548144932649514,0.1,ps1__r,inf,0.0
2,44242.62760900495,24.17496119117582,0.1,ps1__i,inf,0.0
3,44242.62760900495,27.61138665024568,0.1,2massh,inf,0.0
4,44242.62760900495,25.582906656422445,0.1,sdssu,inf,0.0
5,44242.62760900495,26.12936160862864,0.1,ps1__z,inf,0.0
6,44242.72760900495,23.51228679731453,0.1,ps1__r,inf,0.0
7,44242.72760900495,24.38401050058857,0.1,ps1__z,inf,0.0
8,44242.72760900495,23.849446986612694,0.1,ps1__g,inf,0.0
9,44242.72760900495,24.168528464868103,0.1,sdssu,inf,0.0
10,44242.72760900495,23.331071096905138,0.1,ps1__i,inf,0.0
11,44242.72760900495,25.46400120757032,0.1,2massh,inf,0.0
12,44242.827609004955,23.263725541381508,0.1,2massh,inf,0.0
13,44242.827609004955,22.28050075729918,0.1,ps1__r,inf,0.0
14,44242.827609004955,22.950888002181838,0.1,ps1__z,inf,0.0
15,44242.827609004955,22.710672556482393,0.1,ps1__g,inf,0.0
16,44242.827609004955,22.93309352368455,0.1,sdssu,inf,0.0
17,44242.827609004955,22.32634541483495,0.1,ps1__i,inf,0.0
18,44242.92760900495,22.8580140063019,0.1,2massh,inf,0.0
19,44242.92760900495,22.047743742320353,0.1,ps1__i,inf,0.0
20,44242.92760900495,22.4002154742149,0.1,ps1__z,inf,0.0
21,44242.92760900495,21.769556944454624,0.1,ps1__r,inf,0.0
22,44242.92760900495,22.326322264592037,0.1,ps1__g,inf,0.0
23,44242.92760900495,22.629385642733702,0.1,sdssu,inf,0.0
24,44243.02760900495,21.139984176824782,0.1,ps1__r,inf,0.0
25,44243.02760900495,21.78456671809696,0.1,ps1__i,inf,0.0
26,44243.02760900495,21.806867518664777,0.1,ps1__g,inf,0.0
27,44243.02760900495,22.5829407067506,0.1,sdssu,inf,0.0
28,44243.02760900495,22.512607849862157,0.1,2massh,inf,0.0
29,44243.02760900495,21.88866714426168,0.1,ps1__z,inf,0.0
30,44243.12760900495,22.194516471306667,0.1,2massh,inf,0.0
31,44243.12760900495,21.802444714670074,0.1,ps1__z,inf,0.0
32,44243.12760900495,21.765241975068616,0.1,ps1__i,inf,0.0
33,44243.12760900495,22.594423655055245,0.1,sdssu,inf,0.0
34,44243.12760900495,21.00814188885535,0.1,ps1__r,inf,0.0
35,44243.12760900495,21.640658625432398,0.1,ps1__g,inf,0.0
36,44243.22760900495,22.070010616175182,0.1,2massh,inf,0.0
37,44243.22760900495,21.059865647823315,0.1,ps1__r,inf,0.0
38,44243.22760900495,21.719576132430657,0.1,ps1__g,inf,0.0
39,44243.22760900495,21.363170202558543,0.1,ps1__z,inf,0.0
40,44243.22760900495,21.468508971697496,0.1,ps1__i,inf,0.0
