,jd,mag,mag_unc,filter,limmag,programid
0,44242.56904604334,25.89285878607644,0.1,ps1__g,inf,0.0
1,44242.56904604334,26.30933993518437,0.1,ps1__r,inf,0.0
2,44242.56904604334,20.83551850024113,0.1,ps1__i,inf,0.0
3,44242.56904604334,29.49577636097455,0.1,2massh,inf,0.0
4,44242.56904604334,26.59772978027737,0.1,sdssu,inf,0.0
5,44242.56904604334,27.11669169711418,0.1,ps1__z,inf,0.0
6,44242.66904604334,25.118640323854564,0.1,ps1__r,inf,0.0
7,44242.66904604334,25.312981184666054,0.1,ps1__z,inf,0.0
8,44242.66904604334,24.7117203053585,0.1,ps1__g,inf,0.0
9,44242.66904604334,25.420445285511448,0.1,sdssu,inf,0.0
10,44242.66904604334,21.355084306073234,0.1,ps1__i,inf,0.0
11,44242.66904604334,27.21254297843204,0.1,2massh,inf,0.0
12,44242.769046043344,24.87833044789331,0.1,2massh,inf,0.0
13,44242.769046043344,23.955635509211067,0.1,ps1__r,inf,0.0
14,44242.769046043344,23.824089920640002,0.1,ps1__z,inf,0.0
15,44242.769046043344,23.554488156296237,0.1,ps1__g,inf,0.0
16,44242.769046043344,24.367118007278716,0.1,sdssu,inf,0.0
17,44242.769046043344,21.11192722752966,0.1,ps1__i,inf,0.0
18,44242.86904604334,23.893725323746466,0.1,2massh,inf,0.0
19,44242.86904604334,20.82085478564923,0.1,ps1__i,inf,0.0
20,44242.86904604334,23.047109805910324,0.1,ps1__z,inf,0.0
21,44242.86904604334,23.31673417112004,0.1,ps1__r,inf,0.0
22,44242.86904604334,23.179021520314713,0.1,ps1__g,inf,0.0
23,44242.86904604334,23.94027088562183,0.1,sdssu,inf,0.0
24,44242.96904604334,22.576141234054948,0.1,ps1__r,inf,0.0
25,44242.96904604334,20.009926350041873,0.1,ps1__i,inf,0.0
26,44242.96904604334,22.657000924171424,0.1,ps1__g,inf,0.0
27,44242.96904604334,23.734888481113888,0.1,sdssu,inf,0.0
28,44242.96904604334,23.09571576483807,0.1,2massh,inf,0.0
29,44242.96904604334,22.31597084017037,0.1,ps1__z,inf,0.0
30,44243.06904604334,22.49182972398099,0.1,2massh,inf,0.0
31,44243.06904604334,22.07995613554943,0.1,ps1__z,inf,0.0
32,44243.06904604334,19.786664451849546,0.1,ps1__i,inf,0.0
33,44243.06904604334,23.766710305638405,0.1,sdssu,inf,0.0
34,44243.06904604334,22.365635119358927,0.1,ps1__r,inf,0.0
35,44243.06904604334,22.492488811694813,0.1,ps1__g,inf,0.0
36,44243.16904604334,22.189142411832123,0.1,2massh,inf,0.0
37,44243.16904604334,22.372218597676834,0.1,ps1__r,inf,0.0
38,44243.16904604334,22.590912028542814,0.1,ps1__g,inf,0.0
39,44243.16904604334,21.545556919109853,0.1,ps1__z,inf,0.0
40,44243.16904604334,19.340521827294225,0.1,ps1__i,inf,0.0
41,44243.16904604334,23.94414003206212,0.1,sdssu,inf,0.0
42,44243.269046043344,21.338856120596507,0.1,ps1__z,inf,0.0
43,44243.269046043344,21.984897397984003,0.1,2massh,inf,0.0
44,44243.269046043344,22.282992980126174,0.1,ps1__r,inf,0.0
45,44243.269046043344,19.154072922688602,0.1,ps1__i,inf,0.0
46,44243.269046043344,24.02055688846573,0.1,sdssu,inf,0.0
47,44243.269046043344,22.473572721192575,0.1,ps1__g,inf,0.0
48,44243.36904604334,21.21870635987665,0.1,ps1__z,inf,0.0
49,44243.36904604334,21.992944239654516,0.1,2massh,inf,0.0
50,44243.36904604334,22.234671860961694,0.1,ps1__r,inf,0.0
51,44243.36904604334,19.003138987610086,0.1,ps1__i,inf,0.0
52,44243.36904604334,22.34220300213104,0.1,ps1__g,inf,0.0
53,44243.36904604334,24.355679609387696,0.1,sdssu,inf,0.0
54,44243.46904604334,21.776808351245176,0.1,2massh,inf,0.0
55,44243.46904604334,24.339429472067753,0.1,sdssu,inf,0.0
56,44243.46904604334,21.50679557556507,0.1,ps1__z,inf,0.0
57,44243.46904604334,22.536225287355148,0.1,ps1__r,inf,0.0
58,44243.46904604334,22.453134277283244,0.1,ps1__g,inf,0.0
59,44243.46904604334,18.857710418363787,0.1,ps1__i,inf,0.0
60,44243.56904604334,21.873815962522976,0.1,2massh,inf,0.0
61,44243.56904604334,24.669464411616296,0.1,sdssu,inf,0.0
62,44243.56904604334,22.19838834226334,0.1,ps1__r,inf,0.0
63,44243.56904604334,22.414233577350064,0.1,ps1__g,inf,0.0
64,44243.56904604334,21.424332908419775,0.1,ps1__z,inf,0.0
65,44243.56904604334,18.708530390768296,0.1,ps1__i,inf,0.0
66,44243.66904604334,22.47746389814067,0.1,ps1__g,inf,0.0
67,44243.66904604334,24.860679957318887,0.1,sdssu,inf,0.0
68,44243.66904604334,18.43563270348206,0.1,ps1__i,inf,0.0
69,44243.66904604334,21.69136778464811,0.1,2massh,inf,0.0
70,44243.66904604334,22.254355982668038,0.1,ps1__r,inf,0.0
71,44243.66904604334,21.336202312291423,0.1,ps1__z,inf,0.0
72,44243.769046043344,18.494927028097887,0.1,ps1__i,inf,0.0
73,44243.769046043344,21.312027103779375,0.1,ps1__z,inf,0.0
74,44243.769046043344,22.61600692410658,0.1,ps1__g,inf,0.0
75,44243.769046043344,25.16014601642042,0.1,sdssu,inf,0.0
76,44243.769046043344,22.258785261665167,0.1,ps1__r,inf,0.0
77,44243.769046043344,21.853519342985624,0.1,2massh,inf,0.0
78,44243.86904604334,21.110989226826774,0.1,ps1__z,inf,0.0
79,44243.86904604334,18.869892388521706,0.1,ps1__i,inf,0.0
80,44243.86904604334,21.54296836346599,0.1,2massh,inf,0.0
81,44243.86904604334,25.127962396624035,0.1,sdssu,inf,0.0
82,44243.86904604334,22.244009566332025,0.1,ps1__r,inf,0.0
83,44243.86904604334,22.465064026197364,0.1,ps1__g,inf,0.0
84,44243.96904604334,21.717039637747583,0.1,2massh,inf,0.0
85,44243.96904604334,21.393031563803756,0.1,ps1__z,inf,0.0
86,44243.96904604334,25.2623126777401,0.1,sdssu,inf,0.0
87,44243.96904604334,22.12842326031383,0.1,ps1__r,inf,0.0
88,44243.96904604334,22.531886397257317,0.1,ps1__g,inf,0.0
89,44243.96904604334,18.924104704981342,0.1,ps1__i,inf,0.0
90,44244.06904604334,21.08571330748202,0.1,ps1__z,inf,0.0
91,44244.06904604334,25.06003415279912,0.1,sdssu,inf,0.0
92,44244.06904604334,22.21738281052183,0.1,ps1__r,inf,0.0
93,44244.06904604334,21.492316418651626,0.1,2massh,inf,0.0
94,44244.06904604334,18.94456321683113,0.1,ps1__i,inf,0.0
95,44244.06904604334,22.696291534716174,0.1,ps1__g,inf,0.0
96,44244.16904604334,22.059394756694044,0.1,ps1__r,inf,0.0
97,44244.16904604334,21.056061638441808,0.1,ps1__z,inf,0.0
98,44244.16904604334,19.307449194460684,0.1,ps1__i,inf,0.0
99,44244.16904604334,21.345566979909357,0.1,2massh,inf,0.0
100,44244.16904604334,22.704050693142737,0.1,ps1__g,inf,0.0
101,44244.16904604334,25.24404594729498,0.1,sdssu,inf,0.0
102,44244.269046043344,21.30050363683081,0.1,2massh,inf,0.0
103,44244.269046043344,21.088802821042623,0.1,ps1__z,inf,0.0
104,44244.269046043344,19.296823586759373,0.1,ps1__i,inf,0.0
105,44244.269046043344,22.108186807149103,0.1,ps1__r,inf,0.0
106,44244.269046043344,22.889572055971612,0.1,ps1__g,inf,0.0
107,44244.269046043344,25.29427583537179,0.1,sdssu,inf,0.0
108,44244.36904604334,22.106008550839,0.1,ps1__r,inf,0.0
109,44244.36904604334,22.841639860435013,0.1,ps1__g,inf,0.0
110,44244.36904604334,21.058421573870785,0.1,ps1__z,inf,0.0
111,44244.36904604334,25.18231790017674,0.1,sdssu,inf,0.0
112,44244.36904604334,21.26247240248914,0.1,2massh,inf,0.0
113,44244.36904604334,19.565054144410283,0.1,ps1__i,inf,0.0
114,44244.46904604334,19.618843827986694,0.1,ps1__i,inf,0.0
115,44244.46904604334,22.86780684777971,0.1,ps1__g,inf,0.0
116,44244.46904604334,25.220753563219095,0.1,sdssu,inf,0.0
117,44244.46904604334,21.028206103184374,0.1,ps1__z,inf,0.0
118,44244.46904604334,22.188243670154673,0.1,ps1__r,inf,0.0
119,44244.46904604334,21.278886334437644,0.1,2massh,inf,0.0
120,44244.56904604334,23.235697738773652,0.1,ps1__g,inf,0.0
121,44244.56904604334,22.456166559411955,0.1,ps1__r,inf,0.0
122,44244.56904604334,19.952771759068625,0.1,ps1__i,inf,0.0
123,44244.56904604334,21.258757822198827,0.1,2massh,inf,0.0
124,44244.56904604334,20.95023867085042,0.1,ps1__z,inf,0.0
125,44244.56904604334,25.013881098546467,0.1,sdssu,inf,0.0
126,44244.66904604334,21.124372275337578,0.1,2massh,inf,0.0
127,44244.66904604334,22.088027799504886,0.1,ps1__r,inf,0.0
128,44244.66904604334,21.10811615383173,0.1,ps1__z,inf,0.0
129,44244.66904604334,25.141382779597542,0.1,sdssu,inf,0.0
130,44244.66904604334,23.147671520648164,0.1,ps1__g,inf,0.0
131,44244.66904604334,20.047983679344696,0.1,ps1__i,inf,0.0
132,44244.769046043344,19.97823444317805,0.1,ps1__i,inf,0.0
133,44244.769046043344,21.29239625253404,0.1,ps1__z,inf,0.0
134,44244.769046043344,23.270994831295187,0.1,ps1__g,inf,0.0
135,44244.769046043344,22.415932956063486,0.1,ps1__r,inf,0.0
136,44244.769046043344,21.168085819389333,0.1,2massh,inf,0.0
137,44244.769046043344,25.182996845537144,0.1,sdssu,inf,0.0
138,44244.86904604334,21.379141610539087,0.1,2massh,inf,0.0
139,44244.86904604334,20.2336790890369,0.1,ps1__i,inf,0.0
140,44244.86904604334,21.288305946790427,0.1,ps1__z,inf,0.0
141,44244.86904604334,24.881464867093527,0.1,sdssu,inf,0.0
142,44244.86904604334,23.222839878090724,0.1,ps1__g,inf,0.0
143,44244.86904604334,22.270997817870484,0.1,ps1__r,inf,0.0
144,44244.96904604334,22.463096405357245,0.1,ps1__r,inf,0.0
145,44244.96904604334,21.36846176492834,0.1,ps1__z,inf,0.0
146,44244.96904604334,21.33632007541246,0.1,2massh,inf,0.0
147,44244.96904604334,20.343508702777417,0.1,ps1__i,inf,0.0
148,44244.96904604334,23.41036474846368,0.1,ps1__g,inf,0.0
149,44244.96904604334,24.857836981514247,0.1,sdssu,inf,0.0
150,44245.06904604334,21.211548480412493,0.1,2massh,inf,0.0
151,44245.06904604334,21.21884488503342,0.1,ps1__z,inf,0.0
152,44245.06904604334,20.566772477015896,0.1,ps1__i,inf,0.0
153,44245.06904604334,23.573898746861577,0.1,ps1__g,inf,0.0
154,44245.06904604334,25.05269618789846,0.1,sdssu,inf,0.0
155,44245.06904604334,22.690698561459584,0.1,ps1__r,inf,0.0
156,44245.16904604334,23.545381218822122,0.1,ps1__g,inf,0.0
157,44245.16904604334,25.072911813414397,0.1,sdssu,inf,0.0
158,44245.16904604334,22.66816568111601,0.1,ps1__r,inf,0.0
159,44245.16904604334,21.180332094725777,0.1,2massh,inf,0.0
160,44245.16904604334,20.48816392382861,0.1,ps1__i,inf,0.0
161,44245.16904604334,21.234879578321475,0.1,ps1__z,inf,0.0
162,44245.269046043344,20.814036623702457,0.1,ps1__i,inf,0.0
163,44245.269046043344,22.647224521139233,0.1,ps1__r,inf,0.0
164,44245.269046043344,24.8747673468907,0.1,sdssu,inf,0.0
165,44245.269046043344,23.795203144986882,0.1,ps1__g,inf,0.0
166,44245.269046043344,21.203901364083777,0.1,2massh,inf,0.0
167,44245.269046043344,21.389925568237352,0.1,ps1__z,inf,0.0
168,44245.36904604334,21.27292043252701,0.1,2massh,inf,0.0
169,44245.36904604334,20.98065779953093,0.1,ps1__i,inf,0.0
170,44245.36904604334,23.789372550907192,0.1,ps1__g,inf,0.0
171,44245.36904604334,24.897000505645167,0.1,sdssu,inf,0.0
172,44245.36904604334,22.775832520904093,0.1,ps1__r,inf,0.0
173,44245.36904604334,21.480404527715997,0.1,ps1__z,inf,0.0
174,44245.46904604334,21.141197331055146,0.1,2massh,inf,0.0
