Nested Sampling Global Log-Evidence           :   -0.317889056650633222E+03  +/-    0.328041211527209831E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.317889056650633222E+03 +/-    0.328041211527209831E+00
Local Log-Evidence   -0.317889056650633222E+03 +/-    0.328041211527209831E+00

Dim No.       Mean        Sigma
   1    0.403939310880022333E+03    0.940877091459253201E+01
   2    0.709368183858655073E+02    0.243454650018170460E+01
   3    0.149196472665975328E+02    0.534599850117499820E+01
   4    0.100398523097761050E+01    0.387652193611153273E+00
   5   -0.923611841037694670E+00    0.474183983411225057E-01
   6   -0.126425611969559282E+01    0.808237623285380236E-01
   7   -0.792249531922183836E+00    0.437511316362433761E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.402811235498463759E+03
   2    0.724605281858838168E+02
   3    0.114717805716320580E+02
   4    0.148054328232966470E+01
   5   -0.911138972971712535E+00
   6   -0.126318282922921776E+01
   7   -0.795189250744215315E+00

MAP Parameters
Dim No.        Parameter
   1    0.402811235498463759E+03
   2    0.724605281858838168E+02
   3    0.114717805716320580E+02
   4    0.148054328232966470E+01
   5   -0.911138972971712535E+00
   6   -0.126318282922921776E+01
   7   -0.795189250744215315E+00
