Nested Sampling Global Log-Evidence           :   -0.372590538756340166E+02  +/-    0.631538307692449952E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.372590538756340166E+02 +/-    0.631538307692449952E-01
Local Log-Evidence   -0.372590538756340166E+02 +/-    0.631538307692449952E-01

Dim No.       Mean        Sigma
   1    0.747554424732633009E+02    0.142969735276469052E+02
   2    0.350418162709476846E+02    0.102327553786074574E+02
   3    0.219695705554693923E+02    0.151329356531899091E+02
   4    0.100704000055962029E+01    0.370300516488077158E+00
   5   -0.220837109841752033E+00    0.135423272000084027E+00
   6   -0.211184758833005493E+01    0.352489098534411349E+00
   7   -0.157922395731439003E+01    0.124317740501947771E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.709011258296124680E+02
   2    0.399369736889189326E+02
   3    0.122207720941208251E+02
   4    0.564438548400262863E+00
   5   -0.137539122134131553E+00
   6   -0.229456543941455582E+01
   7   -0.163739231313718991E+01

MAP Parameters
Dim No.        Parameter
   1    0.709011258296124680E+02
   2    0.399369736889189326E+02
   3    0.122207720941208251E+02
   4    0.564438548400262863E+00
   5   -0.137539122134131553E+00
   6   -0.229456543941455582E+01
   7   -0.163739231313718991E+01
